PERIOD;INDICATOR;DIMENSION;VALUE
2000-10-01/2001-04-01;30106_ind01;30106_dim06;12.96509398
2001-04-01/2001-10-01;30106_ind01;30106_dim06;
2001-10-01/2002-04-01;30106_ind01;30106_dim06;16.98332687
2002-04-01/2002-10-01;30106_ind01;30106_dim06;
2002-10-01/2003-04-01;30106_ind01;30106_dim06;21.690467
2003-04-01/2003-10-01;30106_ind01;30106_dim06;
2003-10-01/2004-04-01;30106_ind01;30106_dim06;25.36793184
2004-04-01/2004-10-01;30106_ind01;30106_dim06;28.68277475
2004-10-01/2005-04-01;30106_ind01;30106_dim06;32.06397563
2005-04-01/2005-10-01;30106_ind01;30106_dim06;32.63403263
2005-10-01/2006-04-01;30106_ind01;30106_dim06;37.23564955
2006-04-01/2006-10-01;30106_ind01;30106_dim06;41.36363636
2006-10-01/2007-04-01;30106_ind01;30106_dim06;41.83206107
2007-04-01/2007-10-01;30106_ind01;30106_dim06;45.83975347
2007-10-01/2008-04-01;30106_ind01;30106_dim06;47.08171206
2008-04-01/2008-10-01;30106_ind01;30106_dim06;50.76569678
2008-10-01/2009-04-01;30106_ind01;30106_dim06;49.3
2009-04-01/2009-10-01;30106_ind01;30106_dim06;51.4
2009-10-01/2010-04-01;30106_ind01;30106_dim06;53.4
2010-04-01/2010-10-01;30106_ind01;30106_dim06;58.4
2010-10-01/2011-04-01;30106_ind01;30106_dim06;61
2011-04-01/2011-10-01;30106_ind01;30106_dim06;61.9
2011-10-01/2012-04-01;30106_ind01;30106_dim06;58.8
2012-04-01/2012-10-01;30106_ind01;30106_dim06;62.2
2012-10-01/2013-04-01;30106_ind01;30106_dim06;63.6
2013-04-01/2013-10-01;30106_ind01;30106_dim06;68
2013-10-01/2014-04-01;30106_ind01;30106_dim06;66.8
2014-04-01/2014-10-01;30106_ind01;30106_dim06;69.8
2014-10-01/2015-04-01;30106_ind01;30106_dim06;68
2015-04-01/2015-10-01;30106_ind01;30106_dim06;70.7
2015-10-01/2016-04-01;30106_ind01;30106_dim06;71.1
2016-04-01/2016-10-01;30106_ind01;30106_dim06;75.8
2016-10-01/2017-04-01;30106_ind01;30106_dim06;75.5
2017-04-01/2017-10-01;30106_ind01;30106_dim06;75
2017-10-01/2018-04-01;30106_ind01;30106_dim06;75.2
2018-04-01/2018-10-01;30106_ind01;30106_dim06;76.8
2018-10-01/2019-04-01;30106_ind01;30106_dim06;79.7
2019-04-01/2019-10-01;30106_ind01;30106_dim06;78.6
2019-10-01/2020-04-01;30106_ind01;30106_dim06;79.1
1997-05-01/1997-11-01;30106_ind01;30106_dim07;
1997-11-01/1998-05-01;30106_ind01;30106_dim07;
1998-05-01/1998-11-01;30106_ind01;30106_dim07;
1998-11-01/1999-05-01;30106_ind01;30106_dim07;
1999-03-01/1999-10-01;30106_ind01;30106_dim07;
1999-10-01/2000-04-01;30106_ind01;30106_dim07;1.129283489
2000-04-01/2000-10-01;30106_ind01;30106_dim07;
2000-10-01/2001-04-01;30106_ind01;30106_dim07;2.573953131
2001-04-01/2001-10-01;30106_ind01;30106_dim07;
2001-10-01/2002-04-01;30106_ind01;30106_dim07;4.44530344
2002-04-01/2002-10-01;30106_ind01;30106_dim07;
2002-10-01/2003-04-01;30106_ind01;30106_dim07;4.782105669
2003-04-01/2003-10-01;30106_ind01;30106_dim07;
2003-10-01/2004-04-01;30106_ind01;30106_dim07;6.478290834
2004-04-01/2004-10-01;30106_ind01;30106_dim07;8.136300417
2004-10-01/2005-04-01;30106_ind01;30106_dim07;7.551020408
2005-04-01/2005-10-01;30106_ind01;30106_dim07;8.864265928
2005-10-01/2006-04-01;30106_ind01;30106_dim07;9.690444145
2006-04-01/2006-10-01;30106_ind01;30106_dim07;12.89669142
2006-10-01/2007-04-01;30106_ind01;30106_dim07;15.11232131
2007-04-01/2007-10-01;30106_ind01;30106_dim07;16.15120275
2007-10-01/2008-04-01;30106_ind01;30106_dim07;14.98959056
2008-04-01/2008-10-01;30106_ind01;30106_dim07;17.70334928
2008-10-01/2009-04-01;30106_ind01;30106_dim07;19.5
2009-04-01/2009-10-01;30106_ind01;30106_dim07;20.9
2009-10-01/2010-04-01;30106_ind01;30106_dim07;22.6
2010-04-01/2010-10-01;30106_ind01;30106_dim07;25.7
2010-10-01/2011-04-01;30106_ind01;30106_dim07;24.9
2011-04-01/2011-10-01;30106_ind01;30106_dim07;27.3
2011-10-01/2012-04-01;30106_ind01;30106_dim07;28.6
2012-04-01/2012-10-01;30106_ind01;30106_dim07;32.2
2012-10-01/2013-04-01;30106_ind01;30106_dim07;34.3
2013-04-01/2013-10-01;30106_ind01;30106_dim07;40.6
2013-10-01/2014-04-01;30106_ind01;30106_dim07;37.1
2014-04-01/2014-10-01;30106_ind01;30106_dim07;38.4
2014-10-01/2015-04-01;30106_ind01;30106_dim07;38.9
2015-04-01/2015-10-01;30106_ind01;30106_dim07;42.5
2015-10-01/2016-04-01;30106_ind01;30106_dim07;43.4
2016-04-01/2016-10-01;30106_ind01;30106_dim07;45.3
2016-10-01/2017-04-01;30106_ind01;30106_dim07;45.6
2017-04-01/2017-10-01;30106_ind01;30106_dim07;45.3
2017-10-01/2018-04-01;30106_ind01;30106_dim07;44.1
2018-04-01/2018-10-01;30106_ind01;30106_dim07;49.1
2018-10-01/2019-04-01;30106_ind01;30106_dim07;51.6
2019-04-01/2019-10-01;30106_ind01;30106_dim07;52.9
2019-10-01/2020-04-01;30106_ind01;30106_dim07;53.2
1997-05-01/1997-11-01;30106_ind01;30106_T;6.779390652
1997-11-01/1998-05-01;30106_ind01;30106_T;10.58275058
1998-05-01/1998-11-01;30106_ind01;30106_T;12.87557087
1998-11-01/1999-05-01;30106_ind01;30106_T;17.91569087
1999-03-01/1999-10-01;30106_ind01;30106_T;19.3492324
1999-10-01/2000-04-01;30106_ind01;30106_T;26.36675562
2000-04-01/2000-10-01;30106_ind01;30106_T;32.64029887
2000-10-01/2001-04-01;30106_ind01;30106_T;37.41412135
2001-04-01/2001-10-01;30106_ind01;30106_T;39.51442348
2001-10-01/2002-04-01;30106_ind01;30106_T;42.20340433
2002-04-01/2002-10-01;30106_ind01;30106_T;45.14563107
2002-10-01/2003-04-01;30106_ind01;30106_T;47.6
2003-04-01/2003-10-01;30106_ind01;30106_T;49.5
2003-10-01/2004-04-01;30106_ind01;30106_T;51.2
2004-04-01/2004-10-01;30106_ind01;30106_T;54.3
2004-10-01/2005-04-01;30106_ind01;30106_T;55.6
2005-04-01/2005-10-01;30106_ind01;30106_T;57.3
2005-10-01/2006-04-01;30106_ind01;30106_T;60.6
2006-04-01/2006-10-01;30106_ind01;30106_T;64.1
2006-10-01/2007-04-01;30106_ind01;30106_T;65.6
2007-04-01/2007-10-01;30106_ind01;30106_T;67.4
2007-10-01/2008-04-01;30106_ind01;30106_T;68
2008-04-01/2008-10-01;30106_ind01;30106_T;70.9
2008-10-01/2009-04-01;30106_ind01;30106_T;71.8
2009-04-01/2009-10-01;30106_ind01;30106_T;73.2
2009-10-01/2010-04-01;30106_ind01;30106_T;74.5
2010-04-01/2010-10-01;30106_ind01;30106_T;77.4
2010-10-01/2011-04-01;30106_ind01;30106_T;77.5
2011-04-01/2011-10-01;30106_ind01;30106_T;78.5
2011-10-01/2012-04-01;30106_ind01;30106_T;79.3
2012-04-01/2012-10-01;30106_ind01;30106_T;78.1
2012-10-01/2013-04-01;30106_ind01;30106_T;79
2013-04-01/2013-10-01;30106_ind01;30106_T;81.1
2013-10-01/2014-04-01;30106_ind01;30106_T;81.1
2014-04-01/2014-10-01;30106_ind01;30106_T;82.6
2014-10-01/2015-04-01;30106_ind01;30106_T;82.7
2015-04-01/2015-10-01;30106_ind01;30106_T;83.4
2015-10-01/2016-04-01;30106_ind01;30106_T;84.4
2016-04-01/2016-10-01;30106_ind01;30106_T;85.2
2016-10-01/2017-04-01;30106_ind01;30106_T;85.6
2017-04-01/2017-10-01;30106_ind01;30106_T;85.5
2017-10-01/2018-04-01;30106_ind01;30106_T;85.7
2018-04-01/2018-10-01;30106_ind01;30106_T;86.6
2018-10-01/2019-04-01;30106_ind01;30106_T;87.7
2019-04-01/2019-10-01;30106_ind01;30106_T;88.5
2019-10-01/2020-04-01;30106_ind01;30106_T;88.7
1997-05-01/1997-11-01;30106_ind02;30106_T;15.07417451
1997-11-01/1998-05-01;30106_ind02;30106_T;19.7016317
1998-05-01/1998-11-01;30106_ind02;30106_T;24.81371685
1998-11-01/1999-05-01;30106_ind02;30106_T;30.17474329
1999-03-01/1999-10-01;30106_ind02;30106_T;34.04460751
1999-10-01/2000-04-01;30106_ind02;30106_T;40.57948913
2000-04-01/2000-10-01;30106_ind02;30106_T;47.07220011
2000-10-01/2001-04-01;30106_ind02;30106_T;52.07350385
2001-04-01/2001-10-01;30106_ind02;30106_T;55.13915912
2001-10-01/2002-04-01;30106_ind02;30106_T;56.77871867
2002-04-01/2002-10-01;30106_ind02;30106_T;61.3945278
2002-10-01/2003-04-01;30106_ind02;30106_T;63.2
2003-04-01/2003-10-01;30106_ind02;30106_T;65.1
2003-10-01/2004-04-01;30106_ind02;30106_T;66.7
2004-04-01/2004-10-01;30106_ind02;30106_T;67.8
2004-10-01/2005-04-01;30106_ind02;30106_T;68
2005-04-01/2005-10-01;30106_ind02;30106_T;70.1
2005-10-01/2006-04-01;30106_ind02;30106_T;71.8
2006-04-01/2006-10-01;30106_ind02;30106_T;75.7
2006-10-01/2007-04-01;30106_ind02;30106_T;75.6
2007-04-01/2007-10-01;30106_ind02;30106_T;77.2
2007-10-01/2008-04-01;30106_ind02;30106_T;77.2
2008-04-01/2008-10-01;30106_ind02;30106_T;79.2
2008-10-01/2009-04-01;30106_ind02;30106_T;79.7
2009-04-01/2009-10-01;30106_ind02;30106_T;81.4
2009-10-01/2010-04-01;30106_ind02;30106_T;82.1
2010-04-01/2010-10-01;30106_ind02;30106_T;83.9
2010-10-01/2011-04-01;30106_ind02;30106_T;84.1
2011-04-01/2011-10-01;30106_ind02;30106_T;85.2
2011-10-01/2012-04-01;30106_ind02;30106_T;85
2012-04-01/2012-10-01;30106_ind02;30106_T;85.2
2012-10-01/2013-04-01;30106_ind02;30106_T;85
2013-04-01/2013-10-01;30106_ind02;30106_T;86.7
2013-10-01/2014-04-01;30106_ind02;30106_T;86.6
2014-04-01/2014-10-01;30106_ind02;30106_T;87.5
2014-10-01/2015-04-01;30106_ind02;30106_T;87.4
2015-04-01/2015-10-01;30106_ind02;30106_T;88
2015-10-01/2016-04-01;30106_ind02;30106_T;88.9
2016-04-01/2016-10-01;30106_ind02;30106_T;89.4
2016-10-01/2017-04-01;30106_ind02;30106_T;89.5
2017-04-01/2017-10-01;30106_ind02;30106_T;89.6
2017-10-01/2018-04-01;30106_ind02;30106_T;89.8
2018-04-01/2018-10-01;30106_ind02;30106_T;90.3
2018-10-01/2019-04-01;30106_ind02;30106_T;91
2019-04-01/2019-10-01;30106_ind02;30106_T;91.8
2019-10-01/2020-04-01;30106_ind02;30106_T;92.1
1997-05-01/1997-11-01;30106_ind01;30106_dim08;3.113931523
1997-11-01/1998-05-01;30106_ind01;30106_dim08;4.938751701
1998-05-01/1998-11-01;30106_ind01;30106_dim08;7.116046293
1998-11-01/1999-05-01;30106_ind01;30106_dim08;9.843557743
1999-03-01/1999-10-01;30106_ind01;30106_dim08;11.80713743
1999-10-01/2000-04-01;30106_ind01;30106_dim08;17.18187275
